,Category,Correct,Explanation,OptionA,OptionB,OptionC,OptionD,Questions
10,14.1, : B,, 360° , 360.5° , 390°, 380°,  एक घड़ी प्रत्येक एक घण्टे में 5 मिनट बढ़ जाती है। सेकण्ड की सुई एक मिनट के अन्दर कितने कोण के बराबर चक्कर लगाएगी? [SSC (CGL) 2013] 
11,14.1, : C,, 3 : 00 , 2 : 40 , 2 : 10, 3 : 15,"  एक घड़ी को जिस पर केवल 3, 6, 9 और 12 बजे के चिन्ह लगे हैं, एक दर्पण के सामने रखा गया है। किसी व्यक्ति को दर्पण प्रतिबिम्ब में 9 : 50 बजे जैसा रुका समय दिखता है। वास्तविक समय क्या है? [Rajasthan Police (Constable) 2012] "
12,14.1, : A,, 5 बजकर 25 मिनट , 5 बजकर 20 मिनट , 6 बजकर 35 मिनट, 6 बजकर 30 मिनट,"  एक घड़ी का प्रतिबिम्ब दर्पण में दिखाई दे रहा था। घड़ी में उस समय 5 बजकर 25 मिनट हुए थे। यदि दर्पण में बने घड़ी के प्रतिबिम्ब का किसी दूसरे दर्पण में पुन: प्रतिबिम्ब दिखाई दे, तो इस दूसरे दूर्पण में बने घड़ी के प्रतिबिम्ब में क्या समय प्र दर्शित हो रहा होगा? [UP Police (Constable) 2010] "
13,14.1, : B,, 75.2° , 67.5° , 64°, 58.5°,  घड़ी की सूइयाँ 5 बजकर 15 मिनट पर कितने डिग्री का कोण बनाती हैं? [AAO 2003] 
14,14.1, : A,,22,21,2,24,  एक दिन में घड़ी की दोनों सूइयाँ एक साथ कितने बार होंगी। [RRB 2003] 
15,14.1, : A,, 8 : 20 , 8 : 10 , 8 : 05, 8 : 00,  8 : 50 बजे से 20 मिनट पहले बैठक स्थल पर पहुँचते हुए सतीश को यह मालूम हुआ कि वह 40 मिनट देर से आने वाले व्यक्ति से तीस मिनट पहले आ गया है। य ह बताइये कि बैठक का निर्धारित समय क्या था? [SSC 2002] 
16,14.1, : D,, 9 : 10 पूर्वाह्न , 8 : 55 पूर्वाह्न , 9 : 08 पूर्वाह्न, 9 : 15 पूर्वाह्न,  एक बस स्टैण्ड से हरेक 30 मिनट पर दिल्ली के लिए एक बस रवाना होती है। एक पूछताछ क्लर्क ने एक यात्री को बताया कि एक बस 10 मिनट पहले गयी है और अगली बस 9 : 35 पूर्वाह्न पर छुटेगी। पूछताछ क्लर्क ने यात्री को कितने बजे सूचना दी थी? [RRB 1998] 
17,14.1, : B,, 8 : 00 बजे , 8 : 05 बजे , 8 : 15 बजे, 8 : 45 बजे,  एक गोष्ठी में 8 : 30 से 15 मिनट पूर्व पहुँचने पर ऐश्वर्या को ज्ञात हुआ कि वह आधा घंटा पहले उस व्यक्ति से आयी है जो गोष्ठी के नियत समय से 40 मिनट देर से पहुँचा है। गोष्ठी का नियत समय क्या था? [SSC 1996] 
18,14.1, : D,, 8 बजे , 4 बजे, 5 बजे, 3 बजे,  एक व्यक्ति को आइने में दीवार घड़ी की तस्वीर दिखायी देती है। तस्वीर में मिनट की सूई 12 पर तथा घंटे की सूई 9 पर दिखायी दे रही है। बताइये कि घड़ी में सही समय क्या हो रहा होगा? [SSC 2006] 
19,14.1, : C,, 4 बजकर 10 मिनट , 4 बजकर 45 मिनट , 4 बजकर 48 मिनट, 4 बजकर 50 मिनट,  एक घड़ी को आइने के सामने रखने पर लगता है कि 7 बजकर 12 मिनट हुआ है। घड़ी में सही समय क्या हो रहा होगा? [RRB 2005] 
20,14.1,:  C," 8:30 पर घण्‍टे की सूई 8 व 9 के बीचोंबीच होगी, जबकि मिनट की सूई 6 पर होगी घण्‍टे की सूई 17/2 में = (260/12) × (17/2) = 255° मिनट की सूई 30 मिनट में = (360/60) × 30 = 180° आवश्‍यक कोण = (255 — 180)° = 75°",  80°,  60°,  75°,  105°," एक घड़ी में 8:30 हो रहे है, तो उसकी घण्‍टे की सूई एवं मिनट की सूई के मध्‍य कितना कोण बनेगा ? "
21,14.1,:  B," 17/2 घण्‍टे में, घण्‍टे की सुई द्वारा बनाया कोण = (360/12 × 17/2)° = 255° 30 मिनट में, मिनट की सुई द्वारा बनाया कोण = (360/60 × 30)° = 180° ∴ आवश्‍यक कोण = (255 – 180)º = 75º उत्तर",  90°,  75°,  45°,  145°, 8 बजकर 30 मिनट पर घड़ी की दोनों सुइयां कितनी डिग्री का कोण बनाती है ? 
22,14.1,:  B, 13/3 घण्‍टे में बनने वाला कोण = (360/12 × 13/3)º = 130° 20 मिनट में मिनट की सुई द्वारा बना कोण = (360/60 × 20)° = 120° ∴ आवश्‍यक कोण = (130 – 120)º = 10º,  20°,  10°,  0°,  5°, 4:20 पर किसी घड़ी के घण्‍टे की सूई एवं मिनट की सूई के मध्‍य कौनसा कोण बनेगा ? 
23,14.1,:  A, 8 से 2 तक अर्थात् 6 घण्‍टे में बनाया गया कोण = (360/12 × 6) = 180º उत्तर,  180º,  144º,  150º,  168º," एक घड़ी में ठीक सुबह के 8 बजे हैं, जब इस घड़ी में दोपहर के 2 बज रहे होंगे, तब इसकी घण्‍टे वाली सूई कितना डिग्री का कोण बना चुकी होगी ? "
24,14.1,:  B, 3960/(360 × 2) = 5.5°,  3/4°,  5.5°,  11°,  55°," एक समय में जब सैकेण्‍ड वाली सुई 3960 डिग्री आगे बढ़ती है, तो उसी समान समय में घण्‍टे वाली सुई कितना डिग्री आगे बढ़ती है ? "
25,14.1,:  A, 28 × 2 × 6 = 336°,  336°,  376°,  168°,  196°, जब घण्‍टे की सूई 280° खिसकती है तो ठीक इसी समय में मिनट की सूई कितने डिग्री खिसकती है ? 
26,14.1,:  D," 12 घण्‍टे, घण्‍टे की सुई 360° कोण बनाती है। ∴ 11/3 घण्‍टे में = (360/12 × 11/3)° = 110° 60 मिनट में, मिनट की सुई 360° का कोण बनाती है। ∴ 40 मिनट में = (360/60 × 40)° = 240° ∴ आवश्‍यक कोण (240 – 110)° = 130°.",  145°,  160°,  120°,  130°, 3 बजकर 40 मिनट पर घण्‍टे की सुई एवं मिनट की सुई एक – दूसरे से कितनी दूरी पर होगी ? 
27,14.1,:   C,,  180° के,  192½° के,  197½° के,  195° के, 10:25 मिनट पर घड़ी की सूइयों के मध्‍य बने प्रतिबिम्‍ब कोण होंगे — 
28,14.1,:  A, एक मिनट में तय की गई वास्‍तविक ऊँचाई = 5 – 2 = 3 मीटर प्रथम 10 मिनट में = 3 मीटर × 10 मिनट = 30 मीटर अगले 1 मिनट में 5 मीटर = 30 + 5 = 35 मीटर / 11 मिनट में,  11 मिनट में,"  11 मिनट, 24 सैकेण्‍ड में","  11 मिनट, 36 सैकेण्‍ड में",  इनमें से कोई नहीं," एक बंदर एक चिकने खम्‍भे पर चढ़ता है, वह एक बार में 5 मी. ऊपर चढ़ता है जबकि 2 मीटर पुन: फिसलकर नीचे आ जाता है, यह क्रम एकान्‍तर रूप से हर मिनट चलता है, वह बन्‍दर उस 35 मीटर के खम्‍भे पर कितने समय में ऊपर चढ़ जाऐगा ? "
29,14.1,:  B, एक घड़ी में प्रत्‍येक मिनट 6° का कोण बनता है। ∴ 3 मिनट में 6 × 3 = 18°,  3°,  18°,  24°,  60°, घड़ी की दो सूइयाँ 3 मिनट के अन्‍तराल पर है तो दोनों के मध्‍य कोण होगा – 
30,14.1,:  B,  एक घण्‍टे में मिनट की सूई घण्‍टे की सूई से 330° आगे बढ़ती है तो 16 मिनट में मिनट की सूई घण्‍टे की सूई से 330°/60 × 16° = 88° आगे बढ़ेंगी।,  16°,  88°,  80°,  96°," 16 मिनट में मिनट की सूई, घण्‍टे की सूई की अपेक्षा कितनी आगे आ जाऐगी ? "
31,14.1,:   B,  घण्‍टे का कोण 13/3 घण्‍टे में = (360/12 × 13/3)° = 130° मिनट का कोण = 20 मिनट में = (360/60 × 20)° = 120° ∴ आवश्‍यक कोण होगा = (130 – 120)º = 10º उत्तर,  90°,  10°,  120°,  50­°, 4 बजकर 20 मिनट पर घड़ी की घण्‍टे एवं मिनट वाली सूइयों के मध्‍य कितने डिग्री का कोण बनेगा ? 
32,14.1,:  D,,  144°,  150°,  168°,  180°," एक घड़ी में सही समय सुबह के 8:00 बजे है, तो दोपहर के 2:00 बजने तक इस घड़ी की घण्‍टे की सूई यहाँ से कितने डिग्री का कोण बना चुकी होगी ? "
33,14.1,:  D,  घड़ी की घण्‍टे की सूई 12 घण्‍टे में 360° घूमती है। जबकि मिनट की सूई 60 मिनट में 360° घूमती है। तो 11/3 घण्‍टे में बना कोण = (360/12) × (11/3) = 110° तो 40 मिनट में बना कोण = (360/60) × 40 = 240° आवश्‍यक कोण = (240 – 110) = 130°,  120°,  125°,  140°,  130°, 3:40 पर घण्‍टे एवं मिनट की सूईयों के मध्‍य कितने डिग्री का कोण होगा ? 
34,14.1,:  D,,24,22,48,44, एक सम्‍पूर्ण दिन में कितनी बार घड़ी की सूइयां एक सम कोण पर होती है ? 
35,14.1,:  B,  घड़ीकी सूइयां प्रत्‍येक 12 घण्‍टे में 11 बार आपस में नजदीक आती है। इसलिए एक सम्‍पूर्ण दिन में 11 × 2 = 22 बार एक – दूसरे के पास आती है।,24,22,12,20, एक दिन में कुल कितनी बार घड़ी की सूइयां एक – दूसरे के नजदीक आती है ? 
36,14.1,;B,,  170°,  180°,  160°,  154°b," एक घड़ी में सुबह के 8 बजे है, दोपहर के 2 बजने तक उस घड़ी की घण्‍टे की सूई यहाँ से कितने डिग्री खिसक जाएगी ? "
37,14.1,:  A,  4:38 am,  4:38 am,  4:40 am,  4:35 am,  4:39 am, 4 और 5 बजे के मध्‍य किस अनुमानित समय पर घड़ी की दोनों सूइयां समकोण बनाएगी ? 
38,14.1,:  D,  यह याद रखना चाहिए।,54,56,53,55," प्रत्‍येक 60 मिनट में, मिनट की सुई घण्‍टे वाली सुई से …………………………. मिनट आगे आ जाती हैं। "
39,14.1,:  A,"  पहले दिन के सुबह 5:00 बजे से चौथे दिन के रात को 10:00 बजे तक = 89 घण्‍टे प्रत्‍येक 24 घण्‍टे में घड़ी 16 मिनट पीछे रह जाती है अर्थात् घड़ी में 23 घण्‍टे 44 मिनट = 24 घण्‍टे (सही समय) इसलिए इस घड़ी के 365/15 = सही समय के 24 घण्‍टे इस घड़ी के 89 घण्‍टे = (24 × 15/365 × 89) घण्‍टे = 90 घण्‍टे इसलिए, सही समय 11:00 p.m. होगा।",  11 p.m.,  9 p.m.,  12 p.m.,  10 p.m.," एक घड़ी को सुबह 5 बजे नियत किया गया। यह घड़ी प्रत्‍येक 24 घण्‍टे में 16 मिनट पीछे रह जाती है। यदि चौथे दिन रात को घड़ी में 10:00 बज रहे हो, तो सही समय क्‍या हुआ है ? "
40,14.1,:  A,  दोनों सूइयों के मध्‍य बना कोण — 30 × 2 + 15 = 75°,  75°,  70°,  85°,  80°, 8:30 पर किसी घड़ी की घण्‍टे एवं मिनट की सूई के मध्‍य कितने डिग्री का कोण होगा ? 
41,14.1,:  C,"  100 वाँ वर्ष एक अधिवर्ष नहीं है। इसलिए, फरवरी में 29 दिन होते है।",25,26,24,23, 2001 से लेकर 2100 तक 29 फरवरी वाले कुल कितने वर्ष होंगे ? 
42,14.1,:  D,  मिनट वाली सुई 480/60= 80° पूर्ण करते है।,60,90,40,80," किसी घड़ी की सैकेण्‍ड वाली सूई जितने समय में 4800 घूम जाती है, ठीक उतने ही समय में घड़ी की मिनट वाली सूई कितनी घूमती है ? "
43,14.1,:  B,"  घड़ी प्रत्‍येक 3 मिनट में 5 सैकेण्‍ड आगे हो जाती है, अर्थात् एक घण्‍टे में 20 × 5 = 100 सैकेण्‍ड आगे हो जाती है, तो सुबह 8 बजे से रात्रि 10 बजे तक = 14 घण्‍टा तो 14 घण्‍टे में = 14 × 100 = 1400 सैकेण्‍ड आगे या 23 मिनट 20 सैकेण्‍ड आगे अत: रात्रि 10:00 बजे उस घड़ी में 10 : 23 : 20 PM हो रहे होंगे।",  10 : 13 : 22 PM,  10 : 23 : 20 PM,  10 : 32 : 28 PM,  10 : 18 : 26 PM," एक घड़ी प्रत्‍येक 3 मिनट में 5 सैकेण्‍ड आगे हो जाती है, यदि इस घड़ी को 8 AM पर सैट किया गया हो, तो उसी दिन 10 : 00 PM पर इस घड़ी में कितने बज रहे होंगे ? "
44,14.1,:  D,  12 घण्‍टे में घड़ी की सूइयां 22 बार एक – दूसरे के विपरीत होती है। 24 घण्‍टे में 22 × 2 = 44 बार,24,22,48,44, एक दिन में कितने बार घड़ी की सूइयां सीधी होती है ? 
45,14.1,:  C,,  145°,  150°,  155°,  160°," एक घड़ी दोपहर में शुरु होती है, 5 बजकर 10 मिनट तक, घण्‍टे वाली सूई कितनी आगे बढ़ेगी ? "
46,14.1,:  A,  = 11/2 मि. – 30 घण्‍टे = 11/2 × 30 – 30 × 6 = [165 – 180] = 15°,  15°,  30°,  00°,  50°, 6:30 p.m. पर किसी घड़ी की दोनों सूइयों के मध्‍य कितने डिग्री का कोण बनता है ? 
47,14.1,:  D,  ∵ 12 घण्‍टे में 22 बार समकोण बनते है तो 24 घण्‍टे में 22 × 2 = 44 बार।,  48 बार,  22 बार,  24 बार,  44 बार, घड़ी की सुइयां एक दिन में कुल कितनी बार समकोण बनाती है ? 
48,14.1,:  D,  30 + 29 + 31 + 30 + 31 + 30 + 31 + 15 = 227/7 = 3 शेष इसलिए स्‍वतंत्रता दिवस बुधवार को होगा।,  गुरुवार,  शनिवार,  शुक्रवार,  बुधवार, यदि 1 जनवरी 2012 को रविवार है तो इस साल में भारत का स्‍वतंत्रता दिवस मनाया जाता है ? 
49,14.1,:  A,,  15°,  00°,  30°,  50°," एक घड़ी में 6:30 PM हो रहे है, तो उसकी घण्‍टे की सूई एवं मिनट की सूई के मध्‍य कितने डिग्री का कोण बनेगा ? "
