Question,optionA,optionB,optionC,optionD,Correct,Category
"प्रभु अपने घर से 20 कि.मी. दूर अपने मित्र के घर तक गया। कुछ समय बाद वह अपने मित्र के घर से चल कर दाहिनी ओर मुड़ गया और 15 कि.मी. दूर एक उद्यान में पहुँचा। वहाँ कुछ देरविश्राम करके, वह फिर चल पड़ा और दाहिनी ओर मुड़कर 18 कि.मी. चलकर एक पेट्रोल पम्‍प पर पहुँचा। वहाँ से वह पुन: दाहिनी ओर मुड़कर 15 कि.मी. दूर चला गया। तो अब वह कितनेकि.मी. और चल कर अपने घर पहुँच जायेगा ?",2 कि.मी.,18 कि.मी.,21 कि.मी.,23 कि.मी.,a,9.1
"अतुल दक्षिण दिषा की ओर 20 मीटर चलता है। बायीं ओर मुड़कर वह 30 मीटर चलता है, फिर दायीं ओर मुड़कर 10 मीटर चलता है फिर दायीं ओर मुड़कर 40 मीटर चलता है, फिर दायीं ओर मुड़कर 30 मीटर चलता है और रुक जाता है। प्रारम्भिक बिन्दु से वह किस दिषा की ओर है?",दक्षिण -पश्चिम ,पश्चिम,उत्तर-पश्चिम     ,वह प्रारम्भिक बिंदु पर है             ,b,9.1
"नवलेष प्रातः बाग में टहल रहा है और समाने से उसका मित्र सोनू आ रहा है। नवलेष देखता है कि सोनू की छाया उसके (सोनू के) बाएं पड़ रही है, तो नवलेष किस ओर मुंह करके जा रहा है?",पूरब        ,दक्षिण,पश्चिम,उत्तर,b,9.1
"एक बच्चा अपने पिता की तलाश  में है, वह 90 मीटर पूर्व की ओर गया और फिर अपने दाईं ओर मुड़ा। वह 20 मीटर चला और पुनः अपनी दाईं ओर मुड़ा और चाचा के घर गया, जो वहां से 30 मीटर दूर है। उसका पिता वहां भी नहीं मिला। यहां से वह 100 मीटर उत्तर की ओर गया और वहां एक गली में अपने पिता से मिला। वह पिता से कितनी दूर मिला?",80 मी      ,100 मी,140 मी         ,260 मी      ,a,9.1
"यदि दक्षिण-पूर्व उत्तर हो जाता है, तो उत्तर-पूरब क्या हो जाएगा?",उत्तर,दक्षिण,पूरब        ,पश्चिम,d,9.1
"गौरव अपने घर से 21 किमी. उत्तर की ओर चला तथा दाईं ओर मुड़कर 17 किमी. चला। यदि अन्त में वह पुनः दाईं तरफ मुड़कर 10 किमी. चला, तो अ बवह अपने घर से किस दिषा में है?",पूरब        ,उत्तर-पूर्व,दक्षिण-पूर्व ,दक्षिण,b,9.1
"यदि घड़ी में समय 6 रू 20 हो तथा मिनट की सुई उत्तर-पूर्व दिषा की आरे इंगित करती हो, तो घण्टे की सुई किस दिषा की ओर इंगित करेगी",उत्तर-पश्चिम     ,पूरब        ,उत्तर-पश्चिम   ,दक्षिण- पूर्व   ,a,9.1
".रोहन 3 किमी० उत्तर की ओर चलता है, तब वह वहाँ से बाएं मुड़कर 2 किमी० चलता है, वह दोबारा बाएं मुड़कर 3 किमी० चलता है, इस बिंदु पर वह अपने बाएं मुड़कर 3 किमी० चलता है| अब वह अपने प्रारंभिक बिंदु से कितनी दूरी पर है ?",1किमी०  ,2 किमी०  ,3 किमी०  ,5 किमी०  ,a,9.1
"कुनाल 10 किमी० उत्तर की ओर चलता है, जहाँ से वह 6 किमी० दक्षिण की ओर चलता है, तब वह वहाँ से 3 किमी० पूर्व की ओर चलता है | अब वह अपने प्रारंभिक बिंदु से किस दिशा में ओर कितनी दूर है ?",1 किमी० पश्चिम,7 किमी० पश्चिम,7 किमी० पूर्व,5 किमी० उत्तर- पूर्व,d,9.1
"तुम उत्तर की ओर जाते हो ओर दायीं ओर मुड़ते हो, तब वहाँ से दोबारा दायीं ओर मुड़ते हो ओर फिर पुनः बायीं ओर चलते हो | अब तुम किस दिशा में हो ?",उत्तर,दक्षिण,पूरब        ,पश्चिम,c,9.1
"एक व्यक्ति अपने घर से चलता है, पहले वह 30 मीटर उत्तर-पश्चिम दिशा में जाता है, और वहाँ से 30 मीटर दक्षिण-पश्चिम दिशा में जाता है, अगली बार वह 30 मीटर दक्षिण-पूर्व दिशा में चलता है और अंत में वह अपने घर की ओर मुड़ता है| अब वह किस दिशा में चल रहा है ?",उत्तर-पूर्व,उत्तर-पश्चिम,दक्षिण- पूर्व,दक्षिण-पश्चिम,a,9.1
एक नदी पश्चिम से पूर्व की ओर बहती है ओर रास्ते में वह बाएं मुड़कर अर्द्धवृत्त के आकार में बहती है ओर उसके बाद फिर वह समकोण में बाएं मुडती है | अंत में नदी किस दिशा में बहती है ?,पश्चिम,पूरब        ,उत्तर,दक्षिण,b,9.1
