,Answer,OptionA,OptionB,OptionC,OptionD,Questions,Category
27,a,5,6,7,9," यदि 4 x 9 x 3 = 4 तथा 5 x 3 x 1 = 3 हैं, तो 9 x 9 x 7 = ? ",15.1
28, b , –24,1, –53,8," यदि ""÷"" का अर्थ ""गुणा"" है, ""+"" का अर्थ ""घटाव"" है, ""x"" का अर्थ ""जोड़"" है तथा ""–"" का अर्थ ""भाग"" है, तो 12 – 6 + 28 x 3 ÷ 9 = ? ",15.1
29,b,49,25,34,64," यदि 19 (36) 13 तथा 37 (81) 28 हो, तो 43 (A) 38 में, 'A' का मान क्या है? ",15.1
30, b ," x, ÷ तथा ="," ÷, x तथा ="," x, + तथा ="," +, – तथा ="," निम्नलिखित प्रश्न में, दिए गए विकल्पों में से किन गणितीय संक्रियाओं के प्रयोग करने से दिया गया समीकरण सही हो जाएगा? 18 ? 6 ? 9 ? 27 ",15.1
31,b ,33,57,75,96," यदि 18 (9) 3 तथा 36 (30) 5 है, तो 19 (A) 18 में A का मान क्या है? ",15.1
32, c,73,256,1156,1352," यदि '+' का अर्थ गुणा हो, '-' का अर्थ जमा हो और 'x' का अर्थ भाग हो, तो 128 + 9 - 16 x 4 = क्या होगा ",15.1
33, d,431,413,341,143, कुछ समीकरण एक निश्चित प्रणाली से हल किए गए हैं। उसी आधार पर दिए गए विकल्पों में से सही उत्तर चुनकर लिखिए ? 6 x 2 x 9 = 269 8 x 7 x 1 = 781 4 x 1 x 3 = ? ,15.1
34, a,18,14,12,8," यदि * का मतलब घटाना हो, - का मतलब विभक्त करने से हो, □ का मतलब जमा करने से हो और % का मतलब गुणा से हो तो: 13 □ 3 * 6 % 8 - 4 □ 14 = ? ",15.1
35, a,95,45,315,184," कुछ समीकरणों का कुछ प्रणालियों के आधार पर हल निकाला गया है। उसी आधार पर उस समीकरण का सही उत्तर ज्ञात करें जिसका हल नहीं निकाला गया है ?  यदि  3 * 2 * 8 * 4 = 632,  2 * 4 * 4 * 4 = 816 हो, तो 3 * 3 * 5 * 1 = ? ",15.1
36, a, 100+5−10×250÷200 = 100, 200+10−20×200÷100 = 150, 50×5÷10+100−75 = 50, 300+5−20×200÷100 = 200," यदि (-) का मतलब भाग , (+) का मतलब गुना, (÷) का मतलब घटा, और (x) का मतलब जमा है, तो निम्नलिखित में से कौन-सा समीकरण सही है ? ",15.1
37, a,-47,-29,-2,-9," यदि 1*2 = 1 2*3 = -1 3*4 = -5 हो,तो 7*9 का मान ज्ञात कीजिए ? ",15.1
38, d,1,0,10,5,"यदि '+' का अर्थ है '-' , '-' का अर्थ है 'X', 'X'का अर्थ है '÷' और '÷' का अर्थ है '+' तो 2 ÷ 6 X 6 ÷ 2 = ? ",15.1
39, c,974,479,497,749," यदि 6 x 9 x 3 = 963 और 4 x 8 x 5 = 845, तो 9 x 4 x 7 = ? ",15.1
40, b,64,53,81,24," अगर P का अर्थ ÷ , Q का अर्थ x , R का अर्थ + और S का अर्थ - हो तो 18Q12P4R5S6 का मान बताइए ? ",15.1
41, c,15,10,13,12," अगर 4 + 3 = 25 और 8 + 4 = 80 हो, तो 3 + 2 = ? ",15.1
42, a,32,18,16,11," यदि '+' का मतलब है घटाना, '÷' का मतलब है जोड़, '<' का मतलब है गुणा और '>' का मतलब है भाग, तो इस वक्तव्य का मान ज्ञात कीजिये । 9 ÷ 7 < 8 > (4>2) + 5 ",15.1
43, b,24,28,18,16," यदि 5 * 3 = 19 और 8 * 5 = 49, तो 6 * 4 क्या होना चाहिए ? ",15.1
44, a, - and ÷, + and x, + and ÷, + and -, निम्‍नलिखित में से किन चिन्‍हों को आपस में बदलने से समीकरण सही हो जाएगी ?   5 + 3 x 8 - 12 ÷ 4 = 3 ,15.1
45, c," -, +, =, x"," ÷, =, x, +"," ÷, +, x, ="," -, =, x, +", समीकरण को संतुलित करने के लिए * को किस गणितीय चिन्‍हों के संयोजन से परिवर्तित किया जाएगा।   48 * 4 * 6 * 3 * 30 ,15.1
46, a,58,62,158,205,"  किसी कोड भाषा में @ का मतलब + है, ⊕का मतलब - है, α का मतलब ÷ है, और θका मतलब x है। तो निम्नलिखित प्रश्न का उत्तर दीजिए। 8900α100⊕5θ4⊕121α11 = ? ",15.1
47, b,657,675,756,765, कुछ समीकरण एक निश्चित प्रणाली से हल किए गए हैं। उसी आधार पर हल न किये गये प्रश्न को हल करके दिए गए विकल्पों में से सही उत्तर चुनिए ? 1 x 2 x 3 = 231 3 x 4 x 5 = 453 5 x 6 x 7 = ? ,15.1
48, b, 5÷2x1=3+4>1, 5>2x1-3>4<1, 5x2<1-3<4x1, 5<2x1÷3>4x1," यदि +, ÷ के लिए आता है, -, = के लिए आता है, x, + के लिए आता है, ÷ , से बड़े के लिए आता है, = से कम के लिए आता है, > गुणा के लिए आता है, और < घटाने के लिए आता है, तो दिए गए विकल्पों में से कौन सा विकल्प सही है? ",15.1
49, a,324,342,432,243,  कुछ समीकरण एक निश्चित प्रणाली से हल किए गए हैं। उसी आधार पर दिए गए विकल्पों में से सही उत्तर चुनकर लिखिए ? 3X4X5 = 435 4X3X2 = 342 2X3X4= ? ,15.1
50, d,5765,2565,4005,5295, यदि 17 +17 = 2895 18 +18 = 3245 19 + 19 = 3615 हो तो 23 + 23 = ? ,15.1
51, c, 8 ÷ 4 + 1 - 5 = 6 x 4, 4 x 6 ÷ 4 + 4 = 7, 5 ÷ 3 - 25 + 20 = 20 x 39, 96 ÷ 2 x 6 ÷105 + 1," यदि (=) का मतलब (÷), (+) का मतलब (-), (x) का मतलब (=), (-) का मतलब (+), और (÷) का मतलब (ₓ) हो, तो सही समीकरण ज्ञात कीजिए ",15.1
52, d,100,45,1000,55,"  A*B का अर्थ गुणा, @ का अर्थ भाग, ? का अर्थ योग, A=B का अर्थ A - B है तो 10*10= 5*10 ? 50@10 का मान ज्ञात करें ? ",15.1
53, d,26,42,34,28," यदि 37*14 = 17, 69*33 = 34, 91*125 = 72 हो, तो 28*56 = ? ",15.1
54, b, EJKNEGTP, EJKNFTGP, EJNFITP, EJKNFTGH, किसी विशिष्‍ट कूट में 'TEACHER' को 'VGCEJGT' लिखा जाए तो उस कूट में 'CHILDREN' को कैसे लिखा जाएगा ? ,15.1
55, d, 13/6, -1/6, 14½,10," यदि L, 'x' को प्रदर्शित करता है, M, '÷' को प्रदर्शित करता है, P, + को प्रदर्शित करता है, और Q, - को प्रदर्शित करता है, तो 16P24M8Q6M2L3 ",15.1
