,QuestionLink,optionA,optionB,optionC,optionD,optionE,correct,Category
17,https://i.imgur.com/UWEU8e0.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
18,https://i.imgur.com/vqbVASR.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
19,https://i.imgur.com/pG3Nlsp.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
20,https://i.imgur.com/9PTADms.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
21,https://i.imgur.com/ooeuKId.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
22,https://i.imgur.com/lnMPN2o.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
23,https://i.imgur.com/TvHd4oo.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
24,https://i.imgur.com/tFaWA9c.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
25,https://i.imgur.com/94TCnLg.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
26,https://i.imgur.com/LnYUN5o.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
27,https://i.imgur.com/GneMPkD.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
28,https://i.imgur.com/Ud0DauK.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
29,https://i.imgur.com/pA4cNvX.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
30,https://i.imgur.com/TGDO7yB.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,e,18.1
31,https://i.imgur.com/z6qnmRJ.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
32,https://i.imgur.com/gTy8UCY.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
33,https://i.imgur.com/RzTD0az.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
34,https://i.imgur.com/8d0o6AZ.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
35,https://i.imgur.com/4maOXUJ.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
36,https://i.imgur.com/bQ3UemE.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
37,https://i.imgur.com/JPdOj6c.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
38,https://i.imgur.com/92Wmvge.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
39,https://i.imgur.com/iQsbquy.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
40,https://i.imgur.com/jGCm9vU.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
41,https://i.imgur.com/YhVySJ3.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
42,https://i.imgur.com/wCNkzhW.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
43,https://i.imgur.com/Drexcoc.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
44,https://i.imgur.com/Wy9wSoJ.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
45,https://i.imgur.com/qxnnCU7.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
46,https://i.imgur.com/7sX3VZo.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
47,https://i.imgur.com/LtQ8Bl2.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
48,https://i.imgur.com/Q919BOk.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
49,https://i.imgur.com/r4xKiLJ.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
50,https://i.imgur.com/FF5G0oa.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
51,https://i.imgur.com/yTiD9eF.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
52,https://i.imgur.com/gh7uyNZ.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,e,18.1
53,https://i.imgur.com/01ftNsh.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
54,https://i.imgur.com/r2DEAej.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
55,https://i.imgur.com/PBiX2vM.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
56,https://i.imgur.com/PU3FD59.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
57,https://i.imgur.com/JYmDa6I.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
58,https://i.imgur.com/20T8GNh.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
59,https://i.imgur.com/svdl0Rb.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
60,https://i.imgur.com/MHTbAry.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,c,18.1
61,https://i.imgur.com/8pU2S6Y.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
62,https://i.imgur.com/eAdYN4z.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
63,https://i.imgur.com/Lpe5Q7x.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
64,https://i.imgur.com/MCzhAWp.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
65,https://i.imgur.com/wearxjG.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
66,https://i.imgur.com/O98EG6N.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,a,18.1
67,https://i.imgur.com/vjG9bQc.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,e,18.1
68,https://i.imgur.com/oGw5wPB.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,d,18.1
69,https://i.imgur.com/ona8LDN.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
70,https://i.imgur.com/3JoV5Pg.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,b,18.1
71,https://i.imgur.com/sScc4L8.png,केवल निष्कर्ष I सही है ,केवल निष्कर्ष II सही है ,निष्कर्ष I या निष्कर्ष II सही है ,निष्कर्ष I व  निष्कर्ष II दोनों में से कोई भी सही नहीं है ,निष्कर्ष I व II दोनों सही हैं,e,18.1
