,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
15,1.4,Idioms & Phrases,Red herrings,Sound judgement,References and allusions to previous crimes,Clues intended to distract or mislead,Loopholes,C,Select the alternative which best expresses the meaning of the idiom/phrase.
16,1.4,Idioms & Phrases,To cut one’s coat according to one’s cloth,Be thrifty,Live life to the full,Live within one means,Be fair,C,Select the alternative which best expresses the meaning of the idiom/phrase.
17,1.4,Idioms & Phrases,White elephant,A costly but useless possession,Antique item or possession,Any traditional possession,A unique item or possession,A,Select the alternative which best expresses the meaning of the idiom/phrase.
18,1.4,Idioms & Phrases,Look sharp,Be confident,Pay attention,Take control,Make haste,B,Select the alternative which best expresses the meaning of the idiom/phrase.
19,1.4,Idioms & Phrases,Big draw,Favourite,Huge attraction,Gain,Big bang,B,Select the alternative which best expresses the meaning of the idiom/phrase.
20,1.4,Idioms & Phrases,Added fuel to the fire,Got others angry,Ignited the fireplace,Worsened matters,Created warmth all around,C,Select the alternative which best expresses the meaning of the idiom/phrase.
21,1.4,Idioms & Phrases,Fight shy,Flight with,Avoid,Embarrass,Shout at,B,Select the alternative which best expresses the meaning of the idiom/phrase.
22,1.4,Idioms & Phrases,Latched on to ,Promoted,Discovered,Exposed,Explored,A,Select the alternative which best expresses the meaning of the idiom/phrase.
23,1.4,Idioms & Phrases,Follow his nose,To find it by himself,To ask someone else,To follow me,To go straight ahead,D,Select the alternative which best expresses the meaning of the idiom/phrase.
24,1.4,Idioms & Phrases,Feather in my cap,Rewarding,An exciting moment,An achievement,A joy for my parents,C,Select the alternative which best expresses the meaning of the idiom/phrase.
25,1.4,Idioms & Phrases,Above board,To everyone’s liking,Mandatory,Without any secret,Very clear,C,Select the alternative which best expresses the meaning of the idiom/phrase.
26,1.4,Idioms & Phrases,Went haywire,Were in jubilation,Protested,Became out of control,Left the venue,C,Select the alternative which best expresses the meaning of the idiom/phrase.
27,1.4,Idioms & Phrases,Broke off,fainted,suddenly stopped,divided his narrative,took time of,B,Select the alternative which best expresses the meaning of the idiom/phrase.
28,1.4,Idioms & Phrases,At random,Without any aim,For a long time,To end quarrel,Throughly,A,Select the alternative which best expresses the meaning of the idiom/phrase.
29,1.4,Idioms & Phrases,Backseat driver,Person who misjudge others,Person who wants to do things by herself,Person who falsely accuses others,Person who gives unwanted advice,D,Select the alternative which best expresses the meaning of the idiom/phrase.
30,1.4,Idioms & Phrases,Gerrymandering way,In a legal and constitutional manner,In a judicial and fair way,In a manipulative and unfair way,In a dictative manner like the Germans,C,Select the alternative which best expresses the meaning of the idiom/phrase.
31,1.4,Idioms & Phrases,Brought the house down,Made the audience applaud enthusiastically,Made the audience leave,Made the audience cry,Made the audience request an encore,A,Select the alternative which best expresses the meaning of the idiom/phrase.
32,1.4,Idioms & Phrases,Salt of the earth,Dedicated to better the world,"Good, honest and ideal",Extraordinary,One with the common folk,B,Select the alternative which best expresses the meaning of the idiom/phrase.
33,1.4,Idioms & Phrases,The Alpha and Omega,Beginning and end,A Shakespearean play,A Greek song,A Swiss watch,A,Select the alternative which best expresses the meaning of the idiom/phrase.
34,1.4,Idioms & Phrases,Pin money,Saved money,Additional money,A small amount of money,Money to be spent only for luxuries and treats,C,Select the alternative which best expresses the meaning of the idiom/phrase.
35,1.4,Idioms & Phrases,Dot one’s i’s and cross one t’s,Complete one task at a time,Write great letters,Deal with paperwork,Be detailed and exact,D,Select the alternative which best expresses the meaning of the idiom/phrase.
36,1.4,Idioms & Phrases,Down in the dumps,Accusing others of stealing,Searching everywhere,Sad and depressed,Very angry at himself,C,Select the alternative which best expresses the meaning of the idiom/phrase.
37,1.4,Idioms & Phrases,Turned up his nose at my offer,Was taken aback by my offer,Found it hard to believe my offer,Treated my offer with contempt,Could not accept my offer,C,Select the alternative which best expresses the meaning of the idiom/phrase.
38,1.4,Idioms & Phrases,Hard and fast,That is difficult to solve,That can be altered,That is very quick,That cannot be altered,D,Select the alternative which best expresses the meaning of the idiom/phrase.
39,1.4,Idioms & Phrases,Strained every nerve,Worked very hard,Spent a huge amount,Tried all tricks,Bribed several person,A,Select the alternative which best expresses the meaning of the idiom/phrase.
40,1.4,Idioms & Phrases,Read between the lines,Can read leaving lines in between,Can read a lot quicker,Know what the writer thinks,Can read and write in the language,C,Select the alternative which best expresses the meaning of the idiom/phrase.
41,1.4,Idioms & Phrases,To throw dust in one’s eyes,To harm someone,To deceive,To show false things,To make blind,B,Select the alternative which best expresses the meaning of the idiom/phrase.
42,1.4,Idioms & Phrases,A cut above,Quite taller than,More active than,A little rougher than,Rather superior to,D,Select the alternative which best expresses the meaning of the idiom/phrase.
43,1.4,Idioms & Phrases,Showed the white flag,Calmly left the scene,Surrendered,Ran away,Were incensed,B,Select the alternative which best expresses the meaning of the idiom/phrase.
44,1.4,Idioms & Phrases,To cut one short,To love one,To insult one,To criticise one,To interrupt one,D,Select the alternative which best expresses the meaning of the idiom/phrase.
45,1.4,Idioms & Phrases,Keep the wolf from the door,Keep away extreme poverty,Earn an honest living,Regain his lost position,Defend from enemies,A,Select the alternative which best expresses the meaning of the idiom/phrase.
46,1.4,Idioms & Phrases,Foam at the mouth,Angry,Vomit,Shy,Fall sick,A,Select the alternative which best expresses the meaning of the idiom/phrase.
47,1.4,Idioms & Phrases,Husband our resources,Save,Support,Sing,Concede,A,Select the alternative which best expresses the meaning of the idiom/phrase.
48,1.4,Idioms & Phrases,Bring about,Produce,Make,Carry,Cause to happen,D,Select the alternative which best expresses the meaning of the idiom/phrase.
49,1.4,Idioms & Phrases,Gave vent to,Shared,Allowed,Expressed,Enjoyed,C,Select the alternative which best expresses the meaning of the idiom/phrase.
50,1.4,Idioms & Phrases,Broke down,Resigned his job,Ceased to smile,Stopped working,Wept bitterly,D,Select the alternative which best expresses the meaning of the idiom/phrase.
51,1.4,Idioms & Phrases,Throw dust into my eyes,You should not try to blind me with dust,I know how to protect my eyes,I will not let you blind me with dust,Don’t try to mislead or confuse me,D,Select the alternative which best expresses the meaning of the idiom/phrase.
52,1.4,Idioms & Phrases,A man of straw,A man of no substance,A very active person,A worthy fellow,An unreasonable person,A,Select the alternative which best expresses the meaning of the idiom/phrase.
53,1.4,Idioms & Phrases,Off and on,Up and about,Often,Really and truly,Once upon a time,B,Select the alternative which best expresses the meaning of the idiom/phrase.
54,1.4,Idioms & Phrases,Give and take,Adjustment,Make believe,Always,Giving,A,Select the alternative which best expresses the meaning of the idiom/phrase.
55,1.4,Idioms & Phrases,Bad hats,People with bad hats,People of bad character,People selling of bad hats,People of poor status,B,Select the alternative which best expresses the meaning of the idiom/phrase.
56,1.4,Idioms & Phrases,Ice breaking,Having breakfast,Starting conversation,Introducing chief guest,Making speeches,B,Select the alternative which best expresses the meaning of the idiom/phrase.
57,1.4,Idioms & Phrases,Chickened out,Ate chicken,Released chicken,Hatched eggs,Withdrew,D,Select the alternative which best expresses the meaning of the idiom/phrase.
58,1.4,Idioms & Phrases,Make do,Create,Do,Produce,Manage,D,Select the alternative which best expresses the meaning of the idiom/phrase.
59,1.4,Idioms & Phrases,Donkey’s years,A long time,A short time,For donkeys,For few years,A,Select the alternative which best expresses the meaning of the idiom/phrase.
60,1.4,Idioms & Phrases,Feel his pulse,Find his views,Enlighten him,Argue with him,Guide him,A,Select the alternative which best expresses the meaning of the idiom/phrase.
61,1.4,Idioms & Phrases,Taken to task,He will get an official reprimand from the authority,He will be rewarded by the authority,He will tender his resignation to the authority,He will be entrusted with an official job,A,Select the alternative which best expresses the meaning of the idiom/phrase.
62,1.4,Idioms & Phrases,Have something up your sleeve,Have some honest means,Have some hidden sources of money,Have a secret pocket in the sleeve,Have an alternative plan,D,Select the alternative which best expresses the meaning of the idiom/phrase.
63,1.4,Idioms & Phrases,Ruled the roost,Exercised authority,Rushed through work,Got paid very handsomely,Created good impression,A,Select the alternative which best expresses the meaning of the idiom/phrase.
64,1.4,Idioms & Phrases,Eat humble pie,He had to yield under pressure,He maintained composure,He failed to protest eventually,He accepted the food offered,A,Select the alternative which best expresses the meaning of the idiom/phrase.
65,1.4,Idioms & Phrases,In high dudgeon,In a state of great resentment,In a state of great depression,In a state of great jubilation,In a state of great anguish,A,Select the alternative which best expresses the meaning of the idiom/phrase.
66,1.4,Idioms & Phrases,By the skin of my teeth,By a narrow margin,By sheer hard work,By strong will power,By asbolute luck,A,Select the alternative which best expresses the meaning of the idiom/phrase.
67,1.4,Idioms & Phrases,To go the whole hog,To eat something while working,To do something different,To go somewhere far away,To do the work completely or thoroughly,D,Select the alternative which best expresses the meaning of the idiom/phrase.
68,1.4,Idioms & Phrases,Had butterflies in my stomach,Became carefree,Became confident,Became irritated,Became nervous,D,Select the alternative which best expresses the meaning of the idiom/phrase.
69,1.4,Idioms & Phrases,Work against time,Go against the prescribed method,Work as fast as possible,Work in an old-fashioned way,Work lazily,C,Select the alternative which best expresses the meaning of the idiom/phrase.
70,1.4,Idioms & Phrases,Let sleeping dogs lie,Dogs can raise tempers,Do not allow dogs to stand,Prevent dog mobility,Do not bring up an old controversial issue,D,Select the alternative which best expresses the meaning of the idiom/phrase.
72,1.4,Idioms & Phrases,A man of straw,An unreasonable person,A man of no substance,A very active person,A worthy fellow,B,Select the alternative which best expresses the meaning of the idiom/phrase.
74,1.4,Idioms & Phrases,A cakewalk,A difficult achievement,A walkway made with cakes,An easy achievement,Walk away with a cake,C,Select the alternative which best expresses the meaning of the idiom/phrase.
75,1.4,Idioms & Phrases,Back to square one,To return to the starting point,To run to the first square,To start and return,To come to a stop,A,Select the alternative which best expresses the meaning of the idiom/phrase.
76,1.4,Idioms & Phrases,Blowing their own trumpets,To boast about their achievements,To use one’s own trumpet,To blow their trumpet loudly,To praise others trumpeting,A,Select the alternative which best expresses the meaning of the idiom/phrase.
77,1.4,Idioms & Phrases,In apple pie order,Orderly preparation of apple pie,In perfect order,Ordering for apple pie,Arranging apples neatly,B,Select the alternative which best expresses the meaning of the idiom/phrase.
78,1.4,Idioms & Phrases,A closed book,An unopened book,A covered book,A mystery,A mysterious book,C,Select the alternative which best expresses the meaning of the idiom/phrase.
79,1.4,Idioms & Phrases,A month of Sundays,A short period,No time,A long time,A special Sunday,C,Select the alternative which best expresses the meaning of the idiom/phrase.
80,1.4,Idioms & Phrases,Live-wire,Lazy,Dangerous,Naughty,Energetic,D,Select the alternative which best expresses the meaning of the idiom/phrase.
81,1.4,Idioms & Phrases,Cool his heels,To be kept waiting,To make publicity know,To exercise influence,To lose one’s temper,A,Select the alternative which best expresses the meaning of the idiom/phrase.
82,1.4,Idioms & Phrases,Bury the hatchet,Put up a stiff competition,Make peace,Win the game,Forget the past,B,Select the alternative which best expresses the meaning of the idiom/phrase.
83,1.4,Idioms & Phrases,Wet his whistle,Have a nap,Be happy,Have a problem,Have a drink,D,Select the alternative which best expresses the meaning of the idiom/phrase.
84,1.4,Idioms & Phrases,Thick and thin,To our principles,To employers and subordinates,In married life,In spite of all the difficulties,D,Select the alternative which best expresses the meaning of the idiom/phrase.
85,1.4,Idioms & Phrases,Blowing his own trumpet,Boasting,Clattering,Shouting,Clamouring,A,Select the alternative which best expresses the meaning of the idiom/phrase.
86,1.4,Idioms & Phrases,For good,Immediately,Urgently,Permanently,Temporarily,C,Select the alternative which best expresses the meaning of the idiom/phrase.
87,1.4,Idioms & Phrases,Took a leap in the dark,Was cocksure,Took a risk,Was hesitant,Was confused,B,Select the alternative which best expresses the meaning of the idiom/phrase.
88,1.4,Idioms & Phrases,Cut the Gordian knot,Add to the difficulty,Lessened the difficulty,Let the difficulty remain as it was,Removed the difficulty,D,Select the alternative which best expresses the meaning of the idiom/phrase.
89,1.4,Idioms & Phrases,Achilles’ heel,Top priority,Weak spot,Source of strength,What they cherish most,B,Select the alternative which best expresses the meaning of the idiom/phrase.
90,1.4,Idioms & Phrases,Egged you on,Urged,Dampened,Hindered,Discouraged,A,Select the alternative which best expresses the meaning of the idiom/phrase.
91,1.4,Idioms & Phrases,Not fit to hold a candle,Superior,Equal,Inferior,Indifferent,B,Select the alternative which best expresses the meaning of the idiom/phrase.
92,1.4,Idioms & Phrases,Paying through the nose,Paying less than necessary,Paying too much,Paying the right amount,Paying the reluctantly,B,Select the alternative which best expresses the meaning of the idiom/phrase.
93,1.4,Idioms & Phrases,Putting the cart before the horse by,Doing a thing in the wrong way,Doing a thing in the right way,Committing a great crime,Doing thing meticulously,A,Select the alternative which best expresses the meaning of the idiom/phrase.
94,1.4,Idioms & Phrases,Casting pearls before swine,Speaking nice words and convincing them,Offering good things to undeserving people,Uplifting the needy for their welfare,Doing worthwhile things to unknown people,B,Select the alternative which best expresses the meaning of the idiom/phrase.
95,1.4,Idioms & Phrases,In the long run,Always,Over a period of time,Indefinitely,Never,B,Select the alternative which best expresses the meaning of the idiom/phrase.
96,1.4,Idioms & Phrases,A fish out of water,Special,Happy,Uncomfortable,Proud,C,Select the alternative which best expresses the meaning of the idiom/phrase.
97,1.4,Idioms & Phrases,Apple of discord,Cause of anger,Cause of hatred,Cause of quarrel,Cause of animosity,C,Select the alternative which best expresses the meaning of the idiom/phrase.
99,1.4,Idioms & Phrases,Smelt the rat,Got very much confused,Identified the cause of death,Suspected that something is fishy,Jumped to the conclusion,C,Select the alternative which best expresses the meaning of the idiom/phrase.
100,1.4,Idioms & Phrases,Out of my wits,Totally ignorant,Not intelligent enough,Greatly confused,Helpless without power,C,Select the alternative which best expresses the meaning of the idiom/phrase.
101,1.4,Idioms & Phrases,Call a spade a spade,To speak ill about someone,To speak about spades,To speak in a straightforward manner,To call someone a spade,C,Select the alternative which best expresses the meaning of the idiom/phrase.
102,1.4,Idioms & Phrases,To play second fiddle,To do back seat driving,"To be happy, cheerful and healthy",To reduce the important of one’s senior,Take a subordinate role,D,Select the alternative which best expresses the meaning of the idiom/phrase.
103,1.4,Idioms & Phrases,Face the music,Listen to music,Accept the punishment,A listen carefully,Ask a lot of questions,B,Select the alternative which best expresses the meaning of the idiom/phrase.
104,1.4,Idioms & Phrases,Jumping down my throat,Forcing me to eat,Running away,Making a joke,Scolding me,D,Select the alternative which best expresses the meaning of the idiom/phrase.
105,1.4,Idioms & Phrases,Look into,To investigate,To question,To peer closely at,To take care of,A,Select the alternative which best expresses the meaning of the idiom/phrase.
106,1.4,Idioms & Phrases,Fish in troubled waters,Make a profit out of a disturbance,Go for fishing and cause trouble,Fish in hit weather,Catch fish in disturbed waters,A,Select the alternative which best expresses the meaning of the idiom/phrase.
107,1.4,Idioms & Phrases,Keeps the wolf from the door,Ward off mosquitoes,Keep oneself healthy,Avoid starvation,Guard from pickpockets,C,Select the alternative which best expresses the meaning of the idiom/phrase.
108,1.4,Idioms & Phrases,Break the ice in the party ?,Shatter peace,Cause harm,Break free,Initiate something,D,Select the alternative which best expresses the meaning of the idiom/phrase.
109,1.4,Idioms & Phrases,Null and void,Valid,Impossible,Invalid,Empty,C,Select the alternative which best expresses the meaning of the idiom/phrase.
110,1.4,Idioms & Phrases,Cut your coat according to your cloth,Be honest in your dealings,Work according to your capacity,Live within your means,Don’t be too ambitious,C,Select the alternative which best expresses the meaning of the idiom/phrase.
111,1.4,Idioms & Phrases,Broke down,Could not proceed,Fell down,Became angry,Cried,D,Select the alternative which best expresses the meaning of the idiom/phrase.
112,1.4,Idioms & Phrases,Lays out,Allots,Distributes,Donates,Spends,D,Select the alternative which best expresses the meaning of the idiom/phrase.
113,1.4,Idioms & Phrases,A free hand,Complete liberty,An expense account,To employ men to work,Unlimited funds,A,Select the alternative which best expresses the meaning of the idiom/phrase.
114,1.4,Idioms & Phrases,As hard as nail,Tough,Emotionless,Physically strong,Hard working,B,Select the alternative which best expresses the meaning of the idiom/phrase.
115,1.4,Idioms & Phrases,Rides the high horse,Superior,Went on a vacation,Started gambling,Bought a horse,A,Select the alternative which best expresses the meaning of the idiom/phrase.
116,1.4,Idioms & Phrases,Rack and ruin,Successful,Debt,Destroyed,Ransacked,C,Select the alternative which best expresses the meaning of the idiom/phrase.
117,1.4,Idioms & Phrases,To take to task,Pass over,Reward,Punish,Disappoint,C,Select the alternative which best expresses the meaning of the idiom/phrase.
118,1.4,Idioms & Phrases,Iron will,Good health,Strong determination,Sticks to the point,Has high haemoglobin,B,Select the alternative which best expresses the meaning of the idiom/phrase.
119,1.4,Idioms & Phrases,Weal and woe,Ups and downs,Joys and sorrows,Whole heartedly,Under suspicion,B,Select the alternative which best expresses the meaning of the idiom/phrase.
120,1.4,Idioms & Phrases,To keep the ball rolling,To continue the work,More information,To do better,New strategies,A,Select the alternative which best expresses the meaning of the idiom/phrase.
121,1.4,Idioms & Phrases,Bore the palm,Played quite well,Was victorious,Was defeated,Played a very boring match,B,Select the alternative which best expresses the meaning of the idiom/phrase.
122,1.4,Idioms & Phrases,Keep your wig on,"Hold on to your wig, so it won’t fall off",Get another hair cut,Calm down,Take off your wig,C,Select the alternative which best expresses the meaning of the idiom/phrase.
123,1.4,Idioms & Phrases,Through their nose,By taking loans,An extremely high price,Grudgingly,Willingly,B,Select the alternative which best expresses the meaning of the idiom/phrase.
124,1.4,Idioms & Phrases,Picking holes,Admiring people,Finding fault,Criticizing people,Arguing with people,B,Select the alternative which best expresses the meaning of the idiom/phrase.
125,1.4,Idioms & Phrases,To account for,Speak the truth about,Maintain account properly,Give the accounts for,Give a satisfactory explanation for,D,Select the alternative which best expresses the meaning of the idiom/phrase.
126,1.4,Idioms & Phrases,Gift of the gab,To win a prize,To be lucky,Talent for speaking,To distribute gifts,C,Select the alternative which best expresses the meaning of the idiom/phrase.
127,1.4,Idioms & Phrases,Kicked the bucket,Played,Collapsed,Fought,Died,D,Select the alternative which best expresses the meaning of the idiom/phrase.
128,1.4,Idioms & Phrases,A wolf in sheep’s clothing,A woman who looks younger than her age,A man of high birth but in poor condition,A wicked man who pretends to be good,A good for nothing person,C,Select the alternative which best expresses the meaning of the idiom/phrase.
129,1.4,Idioms & Phrases,She left him in the lurch,Annoyed him,Deserted him in difficult times,Put him at ease,Compromised him,B,Select the alternative which best expresses the meaning of the idiom/phrase.
130,1.4,Idioms & Phrases,To cut his coat according to his cloth,Overcome his problems,Wear modest clothes,Improve his tailoring abilities,Live within his income,D,Select the alternative which best expresses the meaning of the idiom/phrase.
131,1.4,Idioms & Phrases,Blowing hot and cold,Being friendly at one moment and unfriendly the next,Trying to cool the situation down and then raking it up again,Being unfriendly and critical,Being good and bad alternately,A,Select the alternative which best expresses the meaning of the idiom/phrase.
132,1.4,Idioms & Phrases,At her fingertips,On her typewriter,Readily available,In the compact disc,Not accessible,B,Select the alternative which best expresses the meaning of the idiom/phrase.
133,1.4,Idioms & Phrases,To take the bull by the horns,To check rumours from spreading,To inflict a crushing defeat upon the enemy,To face danger,To restrain anger,C,Select the alternative which best expresses the meaning of the idiom/phrase.
134,1.4,Idioms & Phrases,Crying over spilt milk,To slip and spill milk,Complaining about an event that cannot be changed,Worrying about the milk that was spilled,To cry having a glass of milk,B,Select the alternative which best expresses the meaning of the idiom/phrase.
135,1.4,Idioms & Phrases,Washed their hands off it,Waited for a response to,Claimed credit for,Disassociated themselves from,Seemed eager to continue,C,Select the alternative which best expresses the meaning of the idiom/phrase.
136,1.4,Idioms & Phrases,Put her foot down,Took a firm stand,Expressed her displeasure,Scolded her badly,Got irritated,A,Select the alternative which best expresses the meaning of the idiom/phrase.
137,1.4,Idioms & Phrases,Halcyon days,Hard days,Of mental pressure,Happy days,Days of preparation,C,Select the alternative which best expresses the meaning of the idiom/phrase.
138,1.4,Idioms & Phrases,Fell on stony ground,Was counter productive,Had a strong impact,Made on stubborn,Had little success,D,Select the alternative which best expresses the meaning of the idiom/phrase.
139,1.4,Idioms & Phrases,Has all his ducks in a row,Has everything ready,Is well organised,Always scores a zero,Never gets confused,B,Select the alternative which best expresses the meaning of the idiom/phrase.
140,1.4,Idioms & Phrases,Taken the wind out of my sails,Made my words of actions ineffective,Made me depressed,Made me think of the future,Made me remember my past,A,Select the alternative which best expresses the meaning of the idiom/phrase.
141,1.4,Idioms & Phrases,Pours cold water on any,Puts off,Dislikes,Disapproves,Postpones,C,Select the alternative which best expresses the meaning of the idiom/phrase.
142,1.4,Idioms & Phrases,Let her hair down,Really enjoy,Wash her hair,Comb her hair,Work till late,A,Select the alternative which best expresses the meaning of the idiom/phrase.
143,1.4,Idioms & Phrases,Jumped out of my skin,Was in panic,Was excited,Was nervous,Was angry,A,Select the alternative which best expresses the meaning of the idiom/phrase.
144,1.4,Idioms & Phrases,Taking her for a ride,Trying to trick her,Taking her in a car,Pulling her along,Forcing her to go with him,A,Select the alternative which best expresses the meaning of the idiom/phrase.
145,1.4,Idioms & Phrases,Out of spirits,Gloomy,Sober,Lifeless,Uninvolved,A,Select the alternative which best expresses the meaning of the idiom/phrase.
146,1.4,Idioms & Phrases,To smell a rat,To suspect a trick,To misunderstand,To see hidden meaning,To smell a bad smell,A,Select the alternative which best expresses the meaning of the idiom/phrase.
147,1.4,Idioms & Phrases,No backbone,Justification,Impact,Strength,Support,C,Select the alternative which best expresses the meaning of the idiom/phrase.
148,1.4,Idioms & Phrases,On their toes,Eager,Alert,Harried,Quick,B,Select the alternative which best expresses the meaning of the idiom/phrase.
149,1.4,Idioms & Phrases,Look into,Discuss,Watch,Grant,Examine,D,Select the alternative which best expresses the meaning of the idiom/phrase.
150,1.4,Idioms & Phrases,Fit of the blues,Steroids or drugs,Depression,Stimulants,Entertainment,B,Select the alternative which best expresses the meaning of the idiom/phrase.
151,1.4,Idioms & Phrases,Utopian idea,Unworthy idea,Imaginary idea,Classic idea,Intelligent idea,B,Select the alternative which best expresses the meaning of the idiom/phrase.
152,1.4,Idioms & Phrases,Getting into a row,Getting a right path,Giving wanted advice,Seeking the help,Picking up a fight,D,Select the alternative which best expresses the meaning of the idiom/phrase.
153,1.4,Idioms & Phrases,A small fry,Unimportant,Weak,Little,Important,A,Select the alternative which best expresses the meaning of the idiom/phrase.
154,1.4,Idioms & Phrases,Has an axe to grind,Has no result,Works for both sides,Has a private agenda,Fails to arouse interest,C,Select the alternative which best expresses the meaning of the idiom/phrase.
155,1.4,Idioms & Phrases,Drew a blank,Did not find him,Put him in prison,Arrested him,Took him to court,A,Select the alternative which best expresses the meaning of the idiom/phrase.
156,1.4,Idioms & Phrases,Put her foot down,Stood up,Was firm,Got down,Walked fast,B,Select the alternative which best expresses the meaning of the idiom/phrase.
157,1.4,Idioms & Phrases,Make a killing,Lose money quickly,Plan a murder quickly,Make someone quickly,Make money quickly,D,Select the alternative which best expresses the meaning of the idiom/phrase.
158,1.4,Idioms & Phrases,No gain saying,Ignoring,Hiding,Forgetting,Denying,D,Select the alternative which best expresses the meaning of the idiom/phrase.
159,1.4,Idioms & Phrases,As duck takes to water,Like taking the duck to water,Like bursting out suddenly,Like dropping the duck in the water,Like easily and naturally speaking,D,Select the alternative which best expresses the meaning of the idiom/phrase.
160,1.4,Idioms & Phrases,Made my day,Gave me great pleasure,Displeased me,Spoiled my day,Made me resentful,A,Select the alternative which best expresses the meaning of the idiom/phrase.
161,1.4,Idioms & Phrases,Made away with,Earned,Ran away with,Squandered,Saved,A,Select the alternative which best expresses the meaning of the idiom/phrase.
162,1.4,Idioms & Phrases,Against the clock,Work while keeping patience,Work with vigour to finish in limited time,Work with enthusiasm,Work hard to go against the time,B,Select the alternative which best expresses the meaning of the idiom/phrase.
163,1.4,Idioms & Phrases,Let off steam,To release his tension,To show his anger,To show his approval,To show his displeasure,A,Select the alternative which best expresses the meaning of the idiom/phrase.
164,1.4,Idioms & Phrases,Held court with,Tried to please to gain support ,Entertained with interesting funny stories,Took to the court of law,Had a formal discussion with,B,Select the alternative which best expresses the meaning of the idiom/phrase.
165,1.4,Idioms & Phrases,Blaze a trail,Be supported,Be the centre of attraction,Initiate work and be a pioneer,Blow the trumpet,C,Select the alternative which best expresses the meaning of the idiom/phrase.
166,1.4,Idioms & Phrases,Without a cloud,Without concealment,Without stigma,Without trouble,Without romance,C,Select the alternative which best expresses the meaning of the idiom/phrase.
167,1.4,Idioms & Phrases,Beauty is only skin deep,Physical charm is important,Internal beauty is not important,Physical touch is not important,Physical beauty is not important,D,Select the alternative which best expresses the meaning of the idiom/phrase.
168,1.4,Idioms & Phrases,Played ducks and drakes,Spent,Preserved,Collected,Squandered,D,Select the alternative which best expresses the meaning of the idiom/phrase.
169,1.4,Idioms & Phrases,To take one to task,To reprove,To take care of,To approve,To give a job,A,Select the alternative which best expresses the meaning of the idiom/phrase.
170,1.4,Idioms & Phrases,To cast away,To leave a place,To discard for ever,To develop new habits,To keep in a hospital,B,Select the alternative which best expresses the meaning of the idiom/phrase.
171,1.4,Idioms & Phrases,To give a cold shoulder,To rub shoulder,To tease,To take no notice of,To give a cold shower,C,Select the alternative which best expresses the meaning of the idiom/phrase.
172,1.4,Idioms & Phrases,To kick the bucket,To die,To escape,To attack,To disappear,A,Select the alternative which best expresses the meaning of the idiom/phrase.
173,1.4,Idioms & Phrases,To make both ends meet,To buy costly articles,To live a luxurious life,To live within one’s income,To please all people,C,Select the alternative which best expresses the meaning of the idiom/phrase.
174,1.4,Idioms & Phrases,To fall back on,To oppose something important,To suffer an injury on the back in an accident,To fail to do something important in time,To seek support out of necessity,D,Select the alternative which best expresses the meaning of the idiom/phrase.
