,correct,QuestionLink,category,optA,optB,optC,optD,sectionType,usedFor,lang,source,Direction
23,c,https://i.imgur.com/7eqoSKt.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
24,d,https://i.imgur.com/A5kI74y.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
25,d,https://i.imgur.com/IlZqEFG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
26,b,https://i.imgur.com/katiRsQ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
27,c,https://i.imgur.com/ivnUqYd.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
28,c,https://i.imgur.com/fHhT4Ah.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
29,d,https://i.imgur.com/j04z2NO.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
30,b,https://i.imgur.com/k24oeCy.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
31,a,https://i.imgur.com/0m38zPo.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
32,d,https://i.imgur.com/uhjfGnA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
33,a,https://i.imgur.com/n9KFktk.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
34,c,https://i.imgur.com/7ZD2Dyz.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
35,b,https://i.imgur.com/4yF5h9z.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
36,b,https://i.imgur.com/JJEWK1P.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
37,a,https://i.imgur.com/HmVxTt1.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
38,d,https://i.imgur.com/fN8Jsdx.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
39,b,https://i.imgur.com/APsBfYF.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
40,b,https://i.imgur.com/oRRjWi1.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
41,c,https://i.imgur.com/Mhkmz5x.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
43,d,https://i.imgur.com/cpKCGes.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
44,a,https://i.imgur.com/vekDW2b.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
45,d,https://i.imgur.com/bUAxF6Z.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
46,a,https://i.imgur.com/ZfMZw6e.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
47,a,https://i.imgur.com/lau4SqD.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
48,c,https://i.imgur.com/aVHzByk.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
49,c,https://i.imgur.com/TcN4ZWb.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
50,b,https://i.imgur.com/cypkV5G.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
51,a,https://i.imgur.com/z8gjoRl.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
52,c,https://i.imgur.com/eiJIf0z.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
53,a,https://i.imgur.com/SVDnzrM.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
54,d,https://i.imgur.com/murkLMe.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
55,c,https://i.imgur.com/HrlxZeM.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
56,a,https://i.imgur.com/fGHs6SA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
57,a,https://i.imgur.com/oHEUwuz.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
58,d,https://i.imgur.com/lXATyc3.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
59,c,https://i.imgur.com/hnvTDhd.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
60,d,https://i.imgur.com/EDVN8CO.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
61,c,https://i.imgur.com/veLYo1n.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
62,a,https://i.imgur.com/q5Xw9rG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
63,a,https://i.imgur.com/SdMTliH.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
64,c,https://i.imgur.com/8oLd6nm.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
65,a,https://i.imgur.com/u4Zo33b.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
66,d,https://i.imgur.com/hE41GOA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
68,b,https://i.imgur.com/CI1f5Vx.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
69,d,https://i.imgur.com/AF8HEhy.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
70,d,https://i.imgur.com/SZ2Dhar.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
71,a,https://i.imgur.com/BLCD6RQ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
72,c,https://i.imgur.com/CqJl9U0.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
73,d,https://i.imgur.com/60H6f9S.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
74,c,https://i.imgur.com/4o1QFXR.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
75,a,https://i.imgur.com/Gnh7qSD.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
77,b,https://i.imgur.com/ovEKPUY.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
78,c,https://i.imgur.com/U60NytU.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
79,b,https://i.imgur.com/07K9JER.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
80,b,https://i.imgur.com/6iZpHro.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
81,d,https://i.imgur.com/CNXaTUQ.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
82,b,https://i.imgur.com/YcSjfpG.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
84,d,https://i.imgur.com/30Ht47t.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
85,c,https://i.imgur.com/6aPUPXe.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
86,a,https://i.imgur.com/8UM0dkA.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
87,b,https://i.imgur.com/jOAZAZ1.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
88,b,https://i.imgur.com/r8r5ESn.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
90,c,https://i.imgur.com/f6GXC8W.png,1.4,A,B,C,D,Reasoning,sscReasoning,Bi,Rakesh yadav,Complete the figure/आकृति पूरी करें 
